1778082011.9552882,1778082011.9552882,22.8,49.4,0.0
1778082012.958584,1778082032.3071272,22.96500000000001,49.44999999999999,0.05
1778082033.3005824,1778082052.7492785,23.274999999999995,49.839999999999996,0.1
1778082053.7569187,1778082073.1010535,23.510000000000005,49.19,0.05
1778082074.1076806,1778082093.3462408,23.740000000000002,48.760000000000005,0.0
1778082094.344113,1778082114.598807,23.874999999999993,48.324999999999996,0.0
1778082723.2833633,1778082723.2833633,25.2,45.2,0.0
1778082724.2719085,1778082743.728252,25.295,45.27,0.1
1778082744.8299916,1778082764.2871218,25.3,45.085,0.15
1778082765.2711725,1778082785.1307616,25.315,44.91,0.0
1778082786.1244698,1778082805.6851573,25.405,45.055,0.15
1778082806.6759577,1778082825.931374,25.515,45.09,0.0
1778082826.9344435,1778082846.1781602,25.605,44.705,0.0
1778082847.1889286,1778082866.4247136,25.7,45.325,0.0
1778082867.4337335,1778082886.6844761,25.7,45.435,0.0
1778082887.6738145,1778082908.1407156,25.78,44.7,0.05
1778082909.156501,1778082928.5861764,25.8,44.35,0.1
1778082929.6174226,1778082948.8376381,25.8,44.27,0.0
1778082949.8642187,1778082969.1835947,25.8,44.13,0.05
1778082970.2170098,1778082989.434276,25.8,44.01,0.0
1778082990.468049,1778083009.973742,25.8,44.17,0.15
1778083011.001097,1778083030.2297246,25.7,44.41,0.0
1778083255.1920562,1778083255.2135162,25.8,44.3,0.0
1778083255.2545855,1778083255.2553337,25.8,44.3,0.0
1778083255.264034,1778083255.2742684,25.8,44.3,0.0
1778083255.2849429,1778083255.2981632,25.8,44.3,0.0
1778083255.3111908,1778083255.3233955,25.8,44.3,0.0
1778083255.336339,1778083255.3438983,25.8,44.3,0.0
1778083255.3559685,1778083255.370634,25.8,44.3,0.0
1778083255.3969245,1778083255.397044,25.8,44.3,0.0
1778083255.4076273,1778083255.4244022,25.8,44.3,0.0
1778083255.4680512,1778083255.4783537,25.8,44.3,0.0
1778083255.5086129,1778083255.520401,25.8,44.3,0.0
1778083255.5396817,1778083255.5400908,25.8,44.3,0.0
1778083255.568485,1778083255.5687113,25.8,44.3,0.0
1778083255.5871844,1778083255.5916314,25.8,44.3,0.0
1778083255.6066499,1778083255.6191869,25.8,44.3,0.0
1778083255.626917,1778083255.6429155,25.8,44.3,0.0
1778083255.6540082,1778083255.668026,25.8,44.3,0.0
1778083255.679806,1778083255.6923656,25.8,44.3,0.0
1778083255.7028532,1778083255.715755,25.8,44.3,0.6
1778083255.7308702,1778083255.741201,25.8,44.3,1.0
1778083255.756216,1778083255.7633605,25.8,44.3,1.0
1778083255.7769287,1778083255.7920492,25.8,44.3,1.0
1778083255.8127515,1778083255.820829,25.8,44.3,1.0
1778083255.8314085,1778083255.8481903,25.8,44.3,1.0
1778083255.8624172,1778083255.8764446,25.8,44.3,1.0
1778083255.887459,1778083255.9024496,25.8,44.3,1.0
1778083255.9135861,1778083255.9258227,25.8,44.3,1.0
1778083255.936068,1778083255.9516926,25.8,44.3,1.0
1778083255.9599218,1778083255.97508,25.8,44.3,1.0
1778083255.9827936,1778083256.0005405,25.8,44.3,1.0
1778083256.0116394,1778083256.0234613,25.8,44.3,1.0
1778083256.0318043,1778083256.047108,25.8,44.3,1.0
1778083256.061746,1778083256.0791044,25.8,44.3,1.0
1778083256.0899107,1778083256.103764,25.8,44.3,1.0
1778083256.1154535,1778083256.1315668,25.8,44.3,1.0
1778083256.1446855,1778083256.1527143,25.8,44.3,1.0
1778083256.162387,1778083256.1741943,25.8,44.3,1.0
1778083256.188262,1778083256.1986802,25.8,44.3,1.0
1778083256.20937,1778083256.2216136,25.8,44.3,1.0
1778083256.2314408,1778083256.245794,25.8,44.3,1.0
1778083256.2571032,1778083256.2695026,25.8,44.3,1.0
1778083256.2778058,1778083256.293649,25.8,44.3,1.0
1778083256.3036058,1778083256.318435,25.8,44.3,1.0
1778083256.3389874,1778083256.3464253,25.8,44.3,1.0
1778083256.3593237,1778083256.3731444,25.8,44.3,1.0
1778083256.397517,1778083256.4069607,25.8,44.3,1.0
1778083256.4273374,1778083256.4287322,25.8,44.3,1.0
1778083256.457055,1778083256.459373,25.8,44.3,1.0
1778083256.474738,1778083256.4832978,25.8,44.3,1.0
1778083256.5027082,1778083256.5113227,25.8,44.3,1.0
1778083256.5265858,1778083256.535912,25.8,44.3,1.0
1778083256.5513825,1778083256.5590787,25.8,44.3,1.0
1778083256.57193,1778083256.5880246,25.8,44.3,1.0
1778083256.6141617,1778083256.6149158,25.8,44.3,1.0
1778083256.6277218,1778083256.6413555,25.8,44.3,1.0
1778083256.6521673,1778083256.6648366,25.8,44.3,1.0
1778083256.6865113,1778083256.6900897,25.8,44.3,1.0
1778083256.7004175,1778083256.7129774,25.8,44.3,1.0
1778083256.7239606,1778083256.7334747,25.8,44.3,1.0
1778083256.7473655,1778083256.7918875,25.8,44.3,1.0
1778083256.805617,1778083256.8131845,25.8,44.3,1.0
1778083256.8280728,1778083263.9132578,25.8,44.3,0.7
1778083264.9293487,1778083285.4743097,25.9,46.7,0.0
1778083286.4828858,1778083305.7328842,26.0,46.6,0.0
1778083306.7308037,1778083325.9837632,26.0,45.1,0.0
1778083326.9906833,1778083346.236873,26.0,44.4,0.0
1778083347.225038,1778083366.4753683,26.0,44.3,0.0
1778083367.482893,1778083386.9248087,26.0,43.8,0.1
1778083388.0348942,1778083407.474237,26.0,43.8,0.1
1778083493.6829906,1778083493.7121267,26.3,43.2,0.0
1778083493.7730737,1778083493.7741034,26.3,43.2,0.0
1778083493.8069608,1778083493.81008,26.3,43.2,0.0
1778083493.8403122,1778083493.854705,26.3,43.2,0.0
1778083493.8684943,1778083493.868937,26.3,43.2,0.0
1778083493.8796706,1778083493.8918993,26.3,43.2,0.0
1778083493.900946,1778083493.9130468,26.3,43.2,0.0
1778083493.9210606,1778083493.9349065,26.3,43.2,0.0
1778083493.9440594,1778083493.9581542,26.3,43.2,0.0
1778083493.964149,1778083493.9823267,26.3,43.2,0.0
1778083493.9926167,1778083494.0078835,26.3,43.2,0.0
1778083494.014907,1778083494.0277903,26.3,43.2,0.0
1778083494.034228,1778083494.0507886,26.3,43.2,0.0
1778083494.061625,1778083494.0778801,26.3,43.2,0.0
1778083494.083836,1778083494.1080077,26.3,43.2,0.0
1778083494.1208007,1778083494.1366296,26.3,43.2,0.0
1778083494.1506364,1778083494.160409,26.3,43.2,0.0
1778083494.1673143,1778083494.186674,26.3,43.2,0.0
1778083494.2070947,1778083494.2101183,26.3,43.2,0.0
1778083494.2227569,1778083494.2335908,26.3,43.2,0.0
1778083494.2395616,1778083494.2570517,26.3,43.2,0.0
1778083494.2646194,1778083494.2803705,26.3,43.2,0.0
1778083494.2894292,1778083494.3036873,26.3,43.2,0.0
1778083494.312865,1778083494.3261778,26.3,43.2,0.0
1778083494.3331792,1778083494.3546734,26.3,43.2,0.0
1778083494.362875,1778083494.378081,26.3,43.2,0.0
1778083494.3877273,1778083494.400089,26.3,43.2,0.0
1778083494.4081836,1778083494.425527,26.3,43.2,0.0
1778083494.434471,1778083494.4480724,26.3,43.2,0.0
1778083494.4567752,1778083494.4691715,26.3,43.2,0.0
1778083494.4786396,1778083494.492553,26.3,43.2,0.0
1778083494.5021517,1778083494.5179036,26.3,43.2,0.0
1778083494.5361233,1778083494.54621,26.3,43.2,0.0
1778083494.5639248,1778083494.5716095,26.3,43.2,0.0
1778083494.5835476,1778083494.5974422,26.3,43.2,0.0
1778083494.6198978,1778083494.6322935,26.3,43.2,0.0
1778083494.647917,1778083494.6567566,26.3,43.2,0.0
1778083494.6666253,1778083494.6840658,26.3,43.2,0.0
1778083494.707107,1778083494.7095783,26.3,43.2,0.0
1778083494.727739,1778083494.7393534,26.3,43.2,0.0
1778083494.764423,1778083494.7870188,26.3,43.2,0.0
1778083494.7965631,1778083494.7967324,26.3,43.2,0.0
1778083494.806522,1778083494.8239696,26.3,43.2,0.0
1778083494.8316915,1778083494.850328,26.3,43.2,0.0
1778083494.859619,1778083494.8750775,26.3,43.2,0.0
1778083494.8901377,1778083494.8987343,26.3,43.2,0.0
1778083494.907179,1778083494.9202275,26.3,43.2,0.0
1778083494.9291992,1778083494.9434297,26.3,43.2,0.0
1778083494.9590595,1778083506.0815575,26.3,43.2,0.0
